# https://arxiv.org/pdf/2003.13350.pdf, Section H.4
# game human random agent57 r2d2(bandit) muzero ngu r2d2(retrace) r2d2
alien 7127.70 227.80 297638.17±37054.55 464232.43±7988.66 741812.63 312024.15±91963.92 228483.74±111660.11 399709.08±106191.42
amidar 1719.50 5.80 29660.08±880.39 31331.37±817.79 28634.39 18369.47±2141.76 28777.05±803.90 30338.91±1087.62
assault 742.00 222.40 67212.67±6150.59 110100.04±346.06 143972.03 42829.17±7452.17 46003.71±8996.65 124931.33±2627.16
asterix 8503.30 210.00 991384.42±9493.32 999354.03±12.94 998425.00 996141.15±3993.26 998867.54±191.35 999403.53±76.75
asteroids 47388.70 719.10 150854.61±16116.72 431072.45±1799.13 6785558.64 248951.23±7561.86 345910.03±13189.10 394765.73±16944.82
atlantis 29028.10 12850.00 1528841.76±28282.53 1660721.85±14643.83 1674767.20 1659575.47±4140.68 1659411.83±9934.57 1644680.76±5784.97
bank_heist 753.10 14.20 23071.50±15834.73 27117.85±963.12 1278.98 20012.54±20377.89 16726.07±10992.11 38536.66±11645.73
battle_zone 37187.50 2360.00 934134.88±38916.03 992600.31±1096.19 848623.00 813965.40±94503.50 845666.67±51527.68 956179.17±31019.66
beam_rider 16926.50 363.90 300509.80±13075.35 390603.06±23304.09 4549993.53 75889.70±18226.52 123281.81±4566.16 246078.69±3667.61
berzerk 2630.40 123.70 61507.83±26539.54 77725.62±4556.93 85932.60 45601.93±5170.98 73475.91±8107.24 64852.56±17875.17
bowling 160.70 23.10 251.18±13.22 161.77±99.84 260.13 215.38±13.27 257.88±4.84 229.39±24.57
boxing 12.10 0.10 100.00±0.00 100.00±0.00 100.00 99.71±0.25 100.00±0.00 99.27±0.35
breakout 30.50 1.70 790.40±60.05 863.92±0.08 864.00 625.86±42.66 859.60±2.04 863.25±0.34
centipede 12017.00 2090.90 412847.86±26087.14 908137.24±7330.99 1159049.27 596427.16±7149.84 737655.85±25568.85 693733.73±74495.81
chopper_command 7387.80 811.00 999900.00±0.00 999900.00±0.00 991039.70 999900.00±0.00 999900.00±0.00 999900.00±0.00
crazy_climber 35829.40 10780.50 565909.85±89183.85 729482.83±87975.74 458315.40 351390.64±62150.96 322741.20±23024.88 549054.89±39413.08
defender 18688.90 2874.50 677642.78±16858.59 730714.53±715.54 839642.95 684414.06±3876.41 681291.73±3469.95 692114.71±4864.99
demon_attack 1971.00 152.10 143161.44±220.32 143913.32±92.93 143964.26 143695.73±154.88 143899.22±53.78 143830.91±107.18
double_dunk -16.40 -18.60 23.93±0.06 24.00±0.00 23.94 -12.63±5.29 24.00±0.00 23.97±0.03
enduro 860.50 0.00 2367.71±8.69 2378.66±3.66 2382.44 2095.40±80.81 2372.77±3.50 2380.22±5.47
