# https://arxiv.org/pdf/2104.06159.pdf table 11
# game random human muzero muesli
alien 228 7128 135541±65349 139409±12178
amidar 6 1720 1061±136 21653±2019
assault 222 742 29697±3595 36963±533
asterix 210 8503 918628±56222 316210±48368
asteroids 719 47389 509953±33541 484609±5047
atlantis 12850 29028 1136009±1466 1363427±81093
bank_heist 14 753 14176±13044 1213±0
battle_zone 2360 37188 320641±141924 414107±13422
beam_rider 364 16927 319684±13394 288870±137
berzerk 124 2630 19523±16817 44478±36140
bowling 23 161 156±25 191±37
boxing 0 12 100±0 99±1
breakout 2 30 778±20 791±10
centipede 2091 12017 862737±11564 869751±16547
chopper_command 811 7388 494578±488588 101289±24339
crazy_climber 10780 35829 176172±17630 175322±3408
defender 2874 18689 544320±12881 629482±39646
demon_attack 152 1971 143846±8 129544±11792
double_dunk -19 -16 24±0 -3±2
enduro 0 861 2363±2 2362±1
fishing_derby -92 -39 69±5 51±0
freeway 0 30 34±0 33±0
frostbite 65 4335 410173±35403 301694±275298
gopher 258 2412 121342±1540 104441±424
gravitar 173 3351 10926±2919 11660±481
hero 1027 30826 37249±15 37161±114
ice_hockey -11 1 40±2 25±13
jamesbond 29 303 32107±3480 19319±3673
kangaroo 52 3035 13928±90 14096±421
krull 1598 2666 50137±22433 34221±1385
kung_fu_master 258 22736 148533±31806 134689±9557
montezuma_revenge 0 4753 1450±1050 2359±309
ms_pacman 307 6952 79319±8659 65278±1589
name_this_game 2292 8049 108133±6935 105043±732
phoenix 761 7243 748424±67304 805305±26719
pitfall -229 6464 0±0 0±0
pong -21 15 21±0 20±1
private_eye 25 69571 7600±7500 10323±4735
qbert 164 13455 85926±8980 157353±6593
riverraid 1338 17118 172266±592 47323±1079
road_runner 12 7845 554956±23859 327025±45241
robotank 2 12 85±15 59±2
seaquest 68 42055 501236±498423 815970±128885
skiing -17098 -4337 -30000±0 -18407±1171
solaris 1236 12327 4401±732 3031±491
space_invaders 148 1669 31265±27619 59602±2759
star_gunner 664 10250 158608±4060 214383±23087
surround -10 7 10±0 9±0
tennis -24 -8 -0±0 12±12
time_pilot 3568 5229 413988±10023 359105±21396
tutankham 11 168 318±30 252±47
up_n_down 533 11693 606602±28296 549190±70789
venture 0 1188 866±866 2104±291
video_pinball 0 17668 921563±56020 685436±155718
wizard_of_wor 564 4757 103463±3366 93291±5
yars_revenge 3093 54577 187731±32107 557818±1895
zaxxon 32 9173 106935±45495 65325±395
