# https://arxiv.org/pdf/1710.02298.pdf Table 6: No-op starts evaluation regime
# game dqn a3c ddqn prior-ddqn dueling-ddqn distrib-dqn noisy-dqn rainbow
alien 634.0 518.4 1033.4 900.5 1,486.5 1,997.5 533.3 6,022.9
amidar 178.4 263.9 169.1 218.4 172.7 237.7 148.0 202.8
assault 3489.3 5474.9 6060.8 7,748.5 3,994.8 5,101.3 5,124.3 14,491.7
asterix 3170.5 22140.5 16837.0 31,907.5 15,840.0 395,599.5 8,277.3 280,114.0
asteroids 1458.7 4474.5 1193.2 1,654.0 2,035.4 2,071.7 4,078.1 2,249.4
atlantis 292491.0 911,091.0 319688.0 593,642.0 445,360.0 289,803.0 303,666.5 814,684.0
bank_heist 312.7 970.1 886.0 816.8 1,129.3 835.6 955.0 826.0
battle_zone 23750.0 12950.0 24740.0 29,100.0 31,320.0 32,250.0 26,985.0 52,040.0
beam_rider 9743.2 22707.9 17417.2 26,172.7 14,591.3 15,002.4 15,241.5 21,768.5
berzerk 493.4 817.9 1011.1 1,165.6 910.6 1,000.0 670.8 1,793.4
bowling 56.5 35.1 69.6 65.8 65.7 76.8 79.3 39.4
boxing 70.3 59.8 73.5 68.6 77.3 62.1 66.3 54.9
breakout 354.5 681.9 368.9 371.6 411.6 548.7 423.3 379.5
centipede 3973.9 3755.8 3853.5 3,421.9 4,881.0 7,476.9 4,214.4 7,160.9
chopper_command 5017.0 7021.0 3495.0 6,604.0 3,784.0 9,600.5 8,778.5 10,916.0
crazy_climber 98128.0 112646.0 113782.0 131,086.0 124,566.0 154,416.5 98,576.5 143,962.0
defender 15917.5 56533.0 27510.0 21,093.5 33,996.0 32,246.0 18,037.5 47,671.3
demon_attack 12550.7 113,308.4 69803.4 73,185.8 56,322.8 109,856.6 25,207.8 109,670.7
double_dunk -6.0 -0.1 -0.3 2.7 -0.8 -3.7 -1.0 -0.6
enduro 626.7 -82.5 1216.6 1,884.4 2,077.4 2,133.4 1,021.5 2,061.1
fishing_derby -1.6 18.8 3.2 9.2 -4.1 -4.9 -3.7 22.6
freeway 26.9 0.1 28.8 27.9 0.2 28.8 27.1 29.1
frostbite 496.1 190.5 1448.1 2,930.2 2,332.4 2,813.9 418.8 4,141.1
gopher 8190.4 10022.8 15253.0 57,783.8 20,051.4 27,778.3 13,131.0 72,595.7
gravitar 298.0 303.5 200.5 218.0 297.0 422.0 250.5 567.5
hero 14992.9 32464.1 14892.5 20,506.4 15,207.9 28,554.2 2,454.2 50,496.8
ice_hockey -1.6 -2.8 -2.5 -1.0 -1.3 -0.1 -2.4 -0.7
kangaroo 4496.0 94.0 11204.0 10,241.0 10,334.0 9,555.5 7,465.0 10,841.0
krull 6206.0 5560.0 6796.1 7,406.5 8,051.6 6,757.8 6,833.5 6,715.5
kung_fu_master 20882.0 28819.0 30207.0 31,244.0 24,288.0 33,890.0 27,921.0 28,999.8
montezuma_revenge 47.0 67.0 42.0 13.0 22.0 130.0 55.0 154.0
ms_pacman 1092.3 653.7 1241.3 1,824.6 2,250.6 2,064.1 1,012.1 2,570.2
name_this_game 6738.8 10476.1 8960.3 11,836.1 11,185.1 11,382.3 7,186.4 11,686.5
phoenix 7484.8 52894.1 12366.5 27,430.1 20,410.5 31,358.3 15,505.0 103,061.6
pitfall -113.2 -78.5 -186.7 -14.8 -46.9 -342.8 -154.4 -37.6
pong 18.0 5.6 19.1 18.9 18.8 18.9 18.0 19.0
private_eye 207.9 206.9 -575.5 179.0 292.6 5,717.5 5,955.4 1,704.4
qbert 9271.5 15148.8 11020.8 11,277.0 14,175.8 15,035.9 9,176.6 18,397.6
road_runner 35215.0 34216.0 43156.0 56,990.0 58,549.0 56,086.0 35,376.5 54,261.0
robotank 58.7 32.8 59.1 55.4 62.0 49.8 50.9 55.2
seaquest 4216.7 2355.4 14498.0 39,096.7 37,361.6 3,275.4 2,353.1 19,176.0
skiing -12142.1 -10911.1 -11490.4 -10,852.8 -11,928.0 -13,247.7 -13,905.9 -11,685.8
solaris 1295.4 1956.0 810.0 2,238.2 1,768.4 2,530.2 2,608.2 2,860.7
space_invaders 1293.8 15,730.5 2628.7 9,063.0 5,993.1 6,368.6 1,697.2 12,629.0
star_gunner 52970.0 138218.0 58365.0 51,959.0 90,804.0 67,054.5 31,864.5 123,853.0
surround -6.0 -9.7 1.9 -0.9 4.0 4.5 -3.1 7.0
tennis 11.1 -6.3 -7.8 -2.0 4.4 22.6 -2.1 -2.2
time_pilot 4786.0 12,679.0 6608.0 7,448.0 6,601.0 7,684.5 5,311.0 11,190.5
tutankham 45.6 156.3 92.2 33.6 48.0 124.3 123.3 126.9
venture 136.0 23.0 21.0 244.0 200.0 462.0 10.5 45.0
video_pinball 154414.1 331628.1 367823.7 374,886.9 110,976.2 455,052.7 241,851.7 506,817.2
wizard_of_wor 1609.0 17,244.0 6201.0 7,451.0 7,054.0 11,824.5 4,796.5 14,631.5
yars_revenge 4577.5 7157.5 6270.6 5,965.1 25,976.5 8,267.7 5,487.3 93,007.9
zaxxon 4412.0 24,622.0 8593.0 9,501.0 10,164.0 15,130.0 7,650.5 19,658.0
